"405929984","405938175","US","USA","UNITED STATES"
"405962752","405970943","US","USA","UNITED STATES"
"406003712","406011903","US","USA","UNITED STATES"
"406044672","406052863","US","USA","UNITED STATES"
"406061056","406106111","US","USA","UNITED STATES"
"406142976","406147071","US","USA","UNITED STATES"
"406159360","406175743","US","USA","UNITED STATES"
"406216704","406241279","US","USA","UNITED STATES"
"406323200","406388735","US","USA","UNITED STATES"
"406454272","406847487","US","USA","UNITED STATES"
"407408640","407597055","US","USA","UNITED STATES"
"407601152","407605247","US","USA","UNITED STATES"
"407609344","407613439","US","USA","UNITED STATES"
"407617536","407633919","US","USA","UNITED STATES"
"408420352","408502271","US","USA","UNITED STATES"
"408518656","408535039","US","USA","UNITED STATES"
"408551424","408719359","US","USA","UNITED STATES"
"408723456","409255935","US","USA","UNITED STATES"
"409272320","409337855","US","USA","UNITED STATES"
"409370624","409509887","US","USA","UNITED STATES"
"409534464","409550847","US","USA","UNITED STATES"
"409567232","409731071","US","USA","UNITED STATES"
"409862144","410124287","US","USA","UNITED STATES"
"410189824","410648575","US","USA","UNITED STATES"
"410714112","411164671","US","USA","UNITED STATES"
"411172864","411303935","US","USA","UNITED STATES"
"411566080","411639807","US","USA","UNITED STATES"
"411664384","411680767","US","USA","UNITED STATES"
"411770880","411779071","US","USA","UNITED STATES"
"411828224","411885567","US","USA","UNITED STATES"
"411975680","411979775","US","USA","UNITED STATES"
"411983872","411992063","US","USA","UNITED STATES"
"412024832","412057599","US","USA","UNITED STATES"
"412073984","412221439","US","USA","UNITED STATES"
"412286976","412483583","US","USA","UNITED STATES"
"412549120","412614655","US","USA","UNITED STATES"
"412647424","412680191","US","USA","UNITED STATES"
"412688384","412704767","US","USA","UNITED STATES"
"412708864","412909567","US","USA","UNITED STATES"
"412942336","412946431","US","USA","UNITED STATES"
"413007872","413908991","US","USA","UNITED STATES"
"413925376","415760383","US","USA","UNITED STATES"
"416022528","416059391","US","USA","UNITED STATES"
"416088064","416153599","US","USA","UNITED STATES"
"416161792","416219135","US","USA","UNITED STATES"
"416251904","416546815","US","USA","UNITED STATES"
"416612352","416628735","US","USA","UNITED STATES"
"416636928","416641023","US","USA","UNITED STATES"
"416645120","416743423","US","USA","UNITED STATES"
"416776192","417202175","US","USA","UNITED STATES"
"417267712","417288191","US","USA","UNITED STATES"
"417292288","417366015","US","USA","UNITED STATES"
"417398784","417427455","US","USA","UNITED STATES"
"417538048","417775615","US","USA","UNITED STATES"
"417796096","417800191","US","USA","UNITED STATES"
"417824768","417857535","US","USA","UNITED STATES"
"417923072","418062335","US","USA","UNITED STATES"
"418070528","418074623","US","USA","UNITED STATES"
"418119680","418316287","US","USA","UNITED STATES"
"418324480","418643967","US","USA","UNITED STATES"
"418668544","418672639","US","USA","UNITED STATES"
"418709504","418766847","US","USA","UNITED STATES"
"418807808","418832383","US","USA","UNITED STATES"
"418840576","419430399","US","USA","UNITED STATES"
"436207616","452984831","US","USA","UNITED STATES"
"469762048","520093695","US","USA","UNITED STATES"
"536870912","540680895","US","USA","UNITED STATES"
"540680960","540683775","US","USA","UNITED STATES"
"540683784","540685567","US","USA","UNITED STATES"
"540685632","540687231","US","USA","UNITED STATES"
"540687360","540694527","US","USA","UNITED STATES"
"540694592","540705023","US","USA","UNITED STATES"
"540705032","540705535","US","USA","UNITED STATES"
"540705600","540711935","US","USA","UNITED STATES"
"540712448","540737535","US","USA","UNITED STATES"
"540803072","540819455","US","USA","UNITED STATES"
"540823552","540826687","US","USA","UNITED STATES"
"540826720","540827135","US","USA","UNITED STATES"
"540827264","540827295","US","USA","UNITED STATES"
"540827312","540827359","US","USA","UNITED STATES"
"540827376","540827391","US","USA","UNITED STATES"
"540827424","540827471","US","USA","UNITED STATES"
"540827488","540827519","US","USA","UNITED STATES"
"540827552","540827583","US","USA","UNITED STATES"
"540827648","540829695","US","USA","UNITED STATES"
"540829952","540830623","US","USA","UNITED STATES"
"540830736","540830815","US","USA","UNITED STATES"
"540830832","540830847","US","USA","UNITED STATES"
"540830896","543690751","US","USA","UNITED STATES"
"543691008","543844351","US","USA","UNITED STATES"
"543844608","603979775","US","USA","UNITED STATES"
"637534208","654311423","US","USA","UNITED STATES"
"671088640","687865855","US","USA","UNITED STATES"
"738197504","771751935","US","USA","UNITED STATES"
"773716992","773718015","US","USA","UNITED STATES"
"805306368","822083583","US","USA","UNITED STATES"
"838860800","838926335","US","USA","UNITED STATES"
"838991872","838999039","US","USA","UNITED STATES"
"838999296","839010559","US","USA","UNITED STATES"
"839010816","839188479","US","USA","UNITED STATES"
"839385088","839909375","US","USA","UNITED STATES"
"872415232","889192447","US","USA","UNITED STATES"
"905969664","956301311","US","USA","UNITED STATES"
"1023311872","1023328255","US","USA","UNITED STATES"
"1024327680","1024328703","US","USA","UNITED STATES"
"1024329280","1024329343","US","USA","UNITED STATES"
"1024329472","1024329663","US","USA","UNITED STATES"
"1024329696","1024330255","US","USA","UNITED STATES"
"1024330272","1024330367","US","USA","UNITED STATES"
"1024330400","1024330751","US","USA","UNITED STATES"
"1024330760","1024331327","US","USA","UNITED STATES"
"1024331520","1024331551","US","USA","UNITED STATES"
"1024331584","1024332287","US","USA","UNITED STATES"
"1024332416","1024332487","US","USA","UNITED STATES"
"1024332496","1024332927","US","USA","UNITED STATES"
"1024333056","1024333247","US","USA","UNITED STATES"
"1024333312","1024333367","US","USA","UNITED STATES"
"1024333376","1024333415","US","USA","UNITED STATES"
"1024333424","1024333791","US","USA","UNITED STATES"
"1024333824","1024333951","US","USA","UNITED STATES"
"1024334080","1024334279","US","USA","UNITED STATES"
"1024334288","1024334727","US","USA","UNITED STATES"
"1024334736","1024334847","US","USA","UNITED STATES"
"1024334912","1024335111","US","USA","UNITED STATES"
"1024335120","1024335143","US","USA","UNITED STATES"
"1024335168","1024335183","US","USA","UNITED STATES"
"1024335200","1024335263","US","USA","UNITED STATES"
"1024335272","1024335679","US","USA","UNITED STATES"
"1024335744","1024335807","US","USA","UNITED STATES"
"1024335872","1024338311","US","USA","UNITED STATES"
"1024338320","1024338631","US","USA","UNITED STATES"
"1024338640","1024339583","US","USA","UNITED STATES"
"1024339968","1024340223","US","USA","UNITED STATES"
"1024340256","1024340511","US","USA","UNITED STATES"
"1024340520","1024344063","US","USA","UNITED STATES"
"1024374352","1024374383","US","USA","UNITED STATES"
"1025300736","1025301247","US","USA","UNITED STATES"
"1041921536","1041921727","US","USA","UNITED STATES"
"1041959424","1041959679","US","USA","UNITED STATES"
"1042298112","1042298143","US","USA","UNITED STATES"
"1042889216","1042889471","US","USA","UNITED STATES"
"1044635648","1044636159","US","USA","UNITED STATES"
"1044750336","1044750351","US","USA","UNITED STATES"
"1044908032","1044909055","US","USA","UNITED STATES"
"1044917280","1044917295","US","USA","UNITED STATES"
"1044921344","1044922367","US","USA","UNITED STATES"
"1047302144","1047302159","US","USA","UNITED STATES"
"1047561888","1047561891","US","USA","UNITED STATES"
"1047740416","1047740431","US","USA","UNITED STATES"
"1048615424","1048615487","US","USA","UNITED STATES"
"1049653096","1049653103","US","USA","UNITED STATES"
"1049709824","1049710079","US","USA","UNITED STATES"
"1050340608","1050340639","US","USA","UNITED STATES"
"1050502560","1050502567","US","USA","UNITED STATES"
"1051702528","1051702783","US","USA","UNITED STATES"
"1053865728","1053865759","US","USA","UNITED STATES"
"1053894832","1053894847","US","USA","UNITED STATES"
"1053895680","1053895935","US","USA","UNITED STATES"
"1053896088","1053896095","US","USA","UNITED STATES"
"1053896160","1053896175","US","USA","UNITED STATES"
"1053896448","1053896703","US","USA","UNITED STATES"
"1053984416","1053984447","US","USA","UNITED STATES"
"1053984896","1053985023","US","USA","UNITED STATES"
"1054381616","1054381631","US","USA","UNITED STATES"
"1054672320","1054672335","US","USA","UNITED STATES"
"1054675968","1054676223","US","USA","UNITED STATES"
"1055201024","1055201279","US","USA","UNITED STATES"
"1055234080","1055234127","US","USA","UNITED STATES"
"1056964608","1061227007","US","USA","UNITED STATES"
"1061227520","1061588735","US","USA","UNITED STATES"
"1061588992","1062069247","US","USA","UNITED STATES"
